s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s
Time,"T-1","V-1","T-2","V-2","T-3","V-3","T-4","V-4","T-5","V-5","T-6","V-6","T-7","V-7","T-8","V-8","T-9","V-9","T-10","V-10","T-11","V-11","T-12","V-12","T-13","V-13","T-14","V-14","T-15","V-15","T-16","V-16","T-17","V-17"
 0.0000000E+000, 2.0000000E+001, 3.7817402E-003, 2.0000000E+001, 9.4756340E-003, 2.0000000E+001, 4.0569399E-003, 2.0000000E+001, 3.8948375E-004, 2.0000000E+001, 6.1498287E-003, 2.0000000E+001, 6.2855519E-003, 2.0000000E+001, 4.1345172E-003, 2.0000000E+001, 9.5213566E-003, 2.0000000E+001, 8.1862431E-003, 2.0000000E+001, 4.5107108E-003, 2.0000000E+001, 1.0303454E-002, 2.0000000E+001, 8.1185274E-003, 2.0000000E+001, 8.6018875E-003, 2.0000000E+001, 6.8971762E-003, 2.0000000E+001, 3.8847160E-003, 2.0000000E+001, 5.8820645E-003, 2.0000000E+001, 1.0300962E-002
 1.3455252E+000, 3.0050752E+002, 2.3512306E-001, 2.4195155E+002, 5.6744876E-001, 1.8273535E+002, 7.0352434E-001, 1.3437342E+002, 7.2946887E-001, 1.0015133E+002, 7.0285117E-001, 7.7814664E+001, 6.4887562E-001, 6.4052398E+001, 5.8836470E-001, 5.4446229E+001, 5.2157259E-001, 4.6991892E+001, 4.3647113E-001, 4.0355460E+001, 3.5253602E-001, 3.5009304E+001, 2.8814549E-001, 2.8104658E+001, 2.1095998E-001, 2.4577991E+001, 1.2243451E-001, 2.0745385E+001, 6.3492360E-002, 2.0113016E+001, 3.2026140E-002, 2.0094429E+001, 2.3234641E-002, 2.0093647E+001, 2.2751961E-002
 2.6699930E+000, 6.5786166E+002, 5.4626357E-001, 6.6315981E+002, 1.4413883E+000, 6.4844399E+002, 2.0387850E+000, 6.1151668E+002, 2.4626120E+000, 5.6164565E+002, 2.7721630E+000, 5.0990067E+002, 2.9989044E+000, 4.5975213E+002, 3.1636785E+000, 4.1390109E+002, 3.2924113E+000, 3.7306567E+002, 3.3999598E+000, 3.3743051E+002, 3.4783212E+000, 3.0791689E+002, 3.5278091E+000, 2.8240397E+002, 3.5680059E+000, 2.6064115E+002, 3.5988211E+000, 2.3812007E+002, 3.5940932E+000, 2.1824321E+002, 3.5480754E+000, 1.9678613E+002, 3.4719566E+000, 1.8039197E+002, 3.3795792E+000
 4.0018512E+000, 6.7472859E+002, 5.6977139E-001, 6.7633327E+002, 1.4812834E+000, 6.5668927E+002, 2.0804167E+000, 6.1384513E+002, 2.5006263E+000, 5.6356836E+002, 2.8079465E+000, 5.1733830E+002, 3.0375178E+000, 4.7495990E+002, 3.2143416E+000, 4.3622888E+002, 3.3557138E+000, 4.0141251E+002, 3.4674395E+000, 3.7038626E+002, 3.5546950E+000, 3.4178640E+002, 3.6262514E+000, 3.1734024E+002, 3.6873791E+000, 2.9340928E+002, 3.7344737E+000, 2.7155234E+002, 3.7667325E+000, 2.5033417E+002, 3.7908077E+000, 2.3070112E+002, 3.7973317E+000, 2.1316138E+002, 3.7793139E+000
 5.3339039E+000, 6.7847169E+002, 5.5314089E-001, 6.7257253E+002, 1.4415908E+000, 6.3971777E+002, 2.0466493E+000, 5.8928302E+002, 2.4626417E+000, 5.3799051E+002, 2.7556236E+000, 4.8945262E+002, 2.9719197E+000, 4.4461162E+002, 3.1351332E+000, 4.0455124E+002, 3.2548330E+000, 3.6800635E+002, 3.3421687E+000, 3.3391251E+002, 3.4061209E+000, 3.0453864E+002, 3.4482227E+000, 2.7787095E+002, 3.4732336E+000, 2.5327756E+002, 3.4869404E+000, 2.3089719E+002, 3.4855316E+000, 2.1029264E+002, 3.4678784E+000, 1.9252661E+002, 3.4429870E+000, 1.7822709E+002, 3.4044248E+000
 6.6708984E+000, 6.8776537E+002, 5.5032663E-001, 6.5757961E+002, 1.3956117E+000, 6.0769372E+002, 1.9401684E+000, 5.4966168E+002, 2.3096099E+000, 4.8981740E+002, 2.5705168E+000, 4.3195765E+002, 2.7557802E+000, 3.8187452E+002, 2.8816887E+000, 3.3928004E+002, 2.9698812E+000, 3.0320505E+002, 3.0363713E+000, 2.7276686E+002, 3.0779754E+000, 2.4738442E+002, 3.0894377E+000, 2.2582620E+002, 3.0805829E+000, 2.0615537E+002, 3.0583584E+000, 1.8748758E+002, 3.0184424E+000, 1.7080695E+002, 2.9608057E+000, 1.5581543E+002, 2.8939960E+000, 1.4261395E+002, 2.8330649E+000
 8.0022828E+000, 6.4648559E+002, 5.3883145E-001, 6.2329885E+002, 1.3882138E+000, 5.7983982E+002, 1.9641728E+000, 5.2284576E+002, 2.3487835E+000, 4.6152779E+002, 2.5909730E+000, 4.0215580E+002, 2.7319603E+000, 3.5046309E+002, 2.8101332E+000, 3.0707395E+002, 2.8462502E+000, 2.6908008E+002, 2.8506028E+000, 2.3819384E+002, 2.8337351E+000, 2.1145459E+002, 2.8110874E+000, 1.8989812E+002, 2.7811772E+000, 1.7258684E+002, 2.7473873E+000, 1.5892002E+002, 2.7159964E+000, 1.4667035E+002, 2.6916089E+000, 1.3504326E+002, 2.6747924E+000, 1.2507329E+002, 2.6486092E+000
 9.3442501E+000, 6.5291802E+002, 5.4760865E-001, 6.2486856E+002, 1.3569071E+000, 5.6940059E+002, 1.8862948E+000, 5.0967742E+002, 2.2386744E+000, 4.5386767E+002, 2.4851074E+000, 4.0476141E+002, 2.6675394E+000, 3.6194643E+002, 2.7951260E+000, 3.2525084E+002, 2.8847072E+000, 2.9048008E+002, 2.9546174E+000, 2.6304497E+002, 3.0030571E+000, 2.3671620E+002, 3.0222851E+000, 2.1460733E+002, 3.0115263E+000, 1.9209469E+002, 2.9664896E+000, 1.7330699E+002, 2.8929671E+000, 1.5352466E+002, 2.8112463E+000, 1.3827145E+002, 2.7114655E+000, 1.2427868E+002, 2.5924343E+000
 1.0671029E+001, 6.4860589E+002, 5.5522786E-001, 6.3054512E+002, 1.4043106E+000, 5.9087256E+002, 1.9631309E+000, 5.3696329E+002, 2.3385595E+000, 4.7882399E+002, 2.5808615E+000, 4.2153252E+002, 2.7350524E+000, 3.6827013E+002, 2.8430163E+000, 3.2293324E+002, 2.9029853E+000, 2.8449018E+002, 2.9213831E+000, 2.5121205E+002, 2.9311030E+000, 2.2246014E+002, 2.9176342E+000, 1.9580994E+002, 2.8649098E+000, 1.7327409E+002, 2.8012214E+000, 1.5665005E+002, 2.7472013E+000, 1.4455752E+002, 2.6894940E+000, 1.3264065E+002, 2.6253098E+000, 1.2208894E+002, 2.5664682E+000
 1.2008492E+001, 6.5438631E+002, 5.3000207E-001, 6.3171402E+002, 1.3576414E+000, 5.9070697E+002, 1.9246292E+000, 5.4016376E+002, 2.3227445E+000, 4.8799855E+002, 2.6106983E+000, 4.3808063E+002, 2.8170480E+000, 3.9191083E+002, 2.9565267E+000, 3.4935677E+002, 3.0548220E+000, 3.1391164E+002, 3.1196261E+000, 2.8490989E+002, 3.1522109E+000, 2.6119183E+002, 3.1698165E+000, 2.3733306E+002, 3.1721377E+000, 2.1447290E+002, 3.1426651E+000, 1.9082917E+002, 3.0859914E+000, 1.7350910E+002, 3.0131693E+000, 1.5870930E+002, 2.9358639E+000, 1.4751737E+002, 2.8657081E+000
 1.3342130E+001, 6.6392910E+002, 5.4749476E-001, 6.4147461E+002, 1.3708437E+000, 5.9666932E+002, 1.9197461E+000, 5.3974802E+002, 2.2936373E+000, 4.8190941E+002, 2.5537958E+000, 4.2872521E+002, 2.7399359E+000, 3.8206034E+002, 2.8755214E+000, 3.4266849E+002, 2.9783893E+000, 3.0899359E+002, 3.0585882E+000, 2.7992064E+002, 3.1185937E+000, 2.5485986E+002, 3.1602358E+000, 2.3269226E+002, 3.1763060E+000, 2.1295071E+002, 3.1609240E+000, 1.9367666E+002, 3.1237859E+000, 1.7802921E+002, 3.0770384E+000, 1.6194677E+002, 3.0169767E+000, 1.5069137E+002, 2.9416217E+000
 1.4677194E+001, 6.4632608E+002, 5.6139841E-001, 6.3032231E+002, 1.4069162E+000, 5.9191462E+002, 1.9665779E+000, 5.3912076E+002, 2.3334322E+000, 4.7937140E+002, 2.5678915E+000, 4.1786070E+002, 2.7129374E+000, 3.6072287E+002, 2.7926107E+000, 3.0908117E+002, 2.8139794E+000, 2.6471759E+002, 2.7954045E+000, 2.3099649E+002, 2.7598969E+000, 2.0488499E+002, 2.7172074E+000, 1.8556773E+002, 2.6765713E+000, 1.6981544E+002, 2.6494337E+000, 1.5785592E+002, 2.6255391E+000, 1.4821695E+002, 2.5927352E+000, 1.4022730E+002, 2.5688628E+000, 1.3223957E+002, 2.5655160E+000
 1.6002774E+001, 6.5208057E+002, 5.4392507E-001, 6.3890103E+002, 1.3780829E+000, 6.0013237E+002, 1.9388589E+000, 5.4323688E+002, 2.3198821E+000, 4.8289211E+002, 2.5845726E+000, 4.2608350E+002, 2.7668698E+000, 3.7439121E+002, 2.8891299E+000, 3.2985368E+002, 2.9705389E+000, 2.9230860E+002, 3.0224254E+000, 2.6213520E+002, 3.0479478E+000, 2.3734615E+002, 3.0533423E+000, 2.1558592E+002, 3.0389266E+000, 1.9625878E+002, 3.0031322E+000, 1.7919403E+002, 2.9519673E+000, 1.6495915E+002, 2.8953748E+000, 1.5363209E+002, 2.8381324E+000, 1.4477786E+002, 2.7952308E+000
 1.7344579E+001, 6.8530489E+002, 5.4401835E-001, 6.6623197E+002, 1.4134702E+000, 6.2629033E+002, 1.9828896E+000, 5.7079095E+002, 2.3651730E+000, 5.1078718E+002, 2.6280988E+000, 4.5361122E+002, 2.8119310E+000, 4.0465341E+002, 2.9464584E+000, 3.6147145E+002, 3.0489269E+000, 3.2461542E+002, 3.1279192E+000, 2.9225092E+002, 3.1910223E+000, 2.6653233E+002, 3.2389750E+000, 2.4252132E+002, 3.2713072E+000, 2.2177621E+002, 3.2854191E+000, 2.0308892E+002, 3.2771578E+000, 1.8800940E+002, 3.2543027E+000, 1.7493227E+002, 3.2271735E+000, 1.6485161E+002, 3.1892978E+000
 1.8678271E+001, 6.6958595E+002, 5.3867584E-001, 6.5435340E+002, 1.3923060E+000, 6.1682665E+002, 1.9798384E+000, 5.6508330E+002, 2.3907311E+000, 5.0874222E+002, 2.6717760E+000, 4.5350031E+002, 2.8637273E+000, 4.0090865E+002, 2.9882459E+000, 3.5358339E+002, 3.0587427E+000, 3.1386161E+002, 3.0914597E+000, 2.8069999E+002, 3.1004112E+000, 2.5364569E+002, 3.0977016E+000, 2.2905413E+002, 3.0847713E+000, 2.0750484E+002, 3.0610201E+000, 1.8843154E+002, 3.0291180E+000, 1.7283217E+002, 2.9841326E+000, 1.5910882E+002, 2.9317611E+000, 1.4668754E+002, 2.8828364E+000
 2.0002954E+001, 6.7120160E+002, 5.4028968E-001, 6.4810451E+002, 1.3876339E+000, 5.9978395E+002, 1.9246157E+000, 5.3063520E+002, 2.2686805E+000, 4.5421818E+002, 2.4836326E+000, 3.8258017E+002, 2.6117278E+000, 3.2399956E+002, 2.6925307E+000, 2.7822469E+002, 2.7437584E+000, 2.4364333E+002, 2.7692471E+000, 2.1509777E+002, 2.7734700E+000, 1.9234008E+002, 2.7597758E+000, 1.7445509E+002, 2.7289089E+000, 1.6182209E+002, 2.6734262E+000, 1.4856810E+002, 2.6070259E+000, 1.3834047E+002, 2.5322898E+000, 1.2748309E+002, 2.4578315E+000, 1.2038046E+002, 2.3975423E+000
 2.1340999E+001, 6.6238740E+002, 5.2429329E-001, 6.3817524E+002, 1.3648741E+000, 5.9177035E+002, 1.9332181E+000, 5.3477111E+002, 2.3254194E+000, 4.7774126E+002, 2.5958837E+000, 4.2383943E+002, 2.7733816E+000, 3.7755031E+002, 2.8780735E+000, 3.3272551E+002, 2.9329625E+000, 2.9612316E+002, 2.9551723E+000, 2.6364208E+002, 2.9541122E+000, 2.3717599E+002, 2.9305947E+000, 2.1281276E+002, 2.8927017E+000, 1.9208188E+002, 2.8509129E+000, 1.7408624E+002, 2.7987136E+000, 1.5864136E+002, 2.7329201E+000, 1.4632364E+002, 2.6519080E+000, 1.3476036E+002, 2.5515817E+000
 2.2671755E+001, 6.7286302E+002, 5.4781274E-001, 6.4589793E+002, 1.3790469E+000, 6.0078912E+002, 1.9155843E+000, 5.4162435E+002, 2.2674764E+000, 4.7837980E+002, 2.5021548E+000, 4.1804964E+002, 2.6670479E+000, 3.6373741E+002, 2.7839818E+000, 3.1668768E+002, 2.8561390E+000, 2.7814071E+002, 2.8950277E+000, 2.4729209E+002, 2.9098310E+000, 2.2296521E+002, 2.9024050E+000, 2.0388649E+002, 2.8786687E+000, 1.8928527E+002, 2.8527064E+000, 1.7722100E+002, 2.8381173E+000, 1.6736296E+002, 2.8246430E+000, 1.5774278E+002, 2.8029675E+000, 1.5005574E+002, 2.7801876E+000
 2.4012263E+001, 6.5114812E+002, 5.6922612E-001, 6.3067493E+002, 1.3819868E+000, 5.9042939E+002, 1.9322112E+000, 5.3466630E+002, 2.3092684E+000, 4.7642155E+002, 2.5598189E+000, 4.1888176E+002, 2.7167400E+000, 3.6530668E+002, 2.8054346E+000, 3.1522715E+002, 2.8504171E+000, 2.7554844E+002, 2.8621727E+000, 2.4535258E+002, 2.8528984E+000, 2.2458540E+002, 2.8428411E+000, 2.0593398E+002, 2.8396527E+000, 1.9079968E+002, 2.8385513E+000, 1.7751140E+002, 2.8276644E+000, 1.6653289E+002, 2.8042476E+000, 1.5464924E+002, 2.7765759E+000, 1.4371166E+002, 2.7383338E+000
 2.5334340E+001, 6.5717489E+002, 5.4030720E-001, 6.3448241E+002, 1.3400503E+000, 5.8626222E+002, 1.8847907E+000, 5.2183904E+002, 2.2493261E+000, 4.5749099E+002, 2.4890253E+000, 3.9696286E+002, 2.6399494E+000, 3.4348527E+002, 2.7303739E+000, 3.0017031E+002, 2.7754685E+000, 2.6416891E+002, 2.7874671E+000, 2.3386724E+002, 2.7774569E+000, 2.0750388E+002, 2.7369306E+000, 1.8666069E+002, 2.6707320E+000, 1.6964147E+002, 2.5880418E+000, 1.5500889E+002, 2.4980646E+000, 1.4303935E+002, 2.3999626E+000, 1.3320623E+002, 2.3074005E+000, 1.2577939E+002, 2.2234842E+000
 2.6676091E+001, 5.8987272E+002, 5.9633186E-001, 5.6232877E+002, 1.2891508E+000, 5.1787620E+002, 1.7727437E+000, 4.7081899E+002, 2.0989650E+000, 4.2287592E+002, 2.3223652E+000, 3.7660474E+002, 2.4708879E+000, 3.3509509E+002, 2.5659776E+000, 3.0103592E+002, 2.6384982E+000, 2.7610391E+002, 2.6942262E+000, 2.5456339E+002, 2.7253910E+000, 2.3688709E+002, 2.7453713E+000, 2.1973176E+002, 2.7620499E+000, 2.0544419E+002, 2.7604913E+000, 1.9184175E+002, 2.7432145E+000, 1.8170870E+002, 2.7224854E+000, 1.7053432E+002, 2.6901327E+000, 1.6109053E+002, 2.6465077E+000
 2.8008024E+001, 5.7969959E+002, 5.6800066E-001, 5.6031095E+002, 1.2886784E+000, 5.1922343E+002, 1.7773473E+000, 4.6698476E+002, 2.0868808E+000, 4.0793552E+002, 2.2694010E+000, 3.4798851E+002, 2.3667028E+000, 2.9641377E+002, 2.3928378E+000, 2.5404751E+002, 2.3673081E+000, 2.2201771E+002, 2.3295597E+000, 1.9846472E+002, 2.3072127E+000, 1.8117044E+002, 2.3010813E+000, 1.6703029E+002, 2.2970045E+000, 1.5681539E+002, 2.2914904E+000, 1.4874314E+002, 2.2822388E+000, 1.4050697E+002, 2.2594505E+000, 1.3091961E+002, 2.2110179E+000, 1.2304563E+002, 2.1460682E+000
 2.9340635E+001, 6.0357306E+002, 5.3554218E-001, 5.8437045E+002, 1.3236705E+000, 5.3644450E+002, 1.8288647E+000, 4.7726250E+002, 2.1509216E+000, 4.1886304E+002, 2.3558278E+000, 3.6685646E+002, 2.4782581E+000, 3.2067581E+002, 2.5466385E+000, 2.8232954E+002, 2.5822131E+000, 2.5475545E+002, 2.6003466E+000, 2.3358440E+002, 2.6098638E+000, 2.1668293E+002, 2.5986438E+000, 2.0221379E+002, 2.5703846E+000, 1.8933952E+002, 2.5570983E+000, 1.7873740E+002, 2.5743203E+000, 1.6964893E+002, 2.6057443E+000, 1.6157608E+002, 2.6307943E+000, 1.5339858E+002, 2.6405489E+000
 3.0676275E+001, 6.3609596E+002, 5.5181558E-001, 6.2601613E+002, 1.3522673E+000, 5.9040330E+002, 1.8968803E+000, 5.4081030E+002, 2.2679127E+000, 4.8577536E+002, 2.5179710E+000, 4.3009828E+002, 2.6863379E+000, 3.8047396E+002, 2.7908308E+000, 3.3541620E+002, 2.8504852E+000, 2.9384025E+002, 2.8707640E+000, 2.5920983E+002, 2.8580264E+000, 2.3073007E+002, 2.8288096E+000, 2.0517127E+002, 2.7877511E+000, 1.8138517E+002, 2.7164537E+000, 1.6219615E+002, 2.5976732E+000, 1.4447403E+002, 2.4367518E+000, 1.3115200E+002, 2.2578457E+000, 1.2106164E+002, 2.1069965E+000
 3.2011219E+001, 6.3496959E+002, 5.7912535E-001, 6.1397469E+002, 1.3547685E+000, 5.6574481E+002, 1.8638784E+000, 5.0538199E+002, 2.1899472E+000, 4.4014580E+002, 2.3827435E+000, 3.7565288E+002, 2.4775280E+000, 3.1534120E+002, 2.5149627E+000, 2.6593448E+002, 2.5127840E+000, 2.2912209E+002, 2.4790672E+000, 2.0431266E+002, 2.4205456E+000, 1.8673108E+002, 2.3490008E+000, 1.7318642E+002, 2.2819054E+000, 1.6295782E+002, 2.2242690E+000, 1.5385077E+002, 2.1827084E+000, 1.4577138E+002, 2.1491697E+000, 1.3920107E+002, 2.1148807E+000, 1.3342717E+002, 2.0913345E+000
 3.3344626E+001, 5.8723057E+002, 5.8041173E-001, 5.6343941E+002, 1.3049902E+000, 5.1229884E+002, 1.7738548E+000, 4.5477955E+002, 2.0737377E+000, 3.9723253E+002, 2.2597175E+000, 3.4187640E+002, 2.3596740E+000, 2.9336586E+002, 2.3923662E+000, 2.5414087E+002, 2.3869646E+000, 2.2435974E+002, 2.3606263E+000, 1.9988998E+002, 2.3124714E+000, 1.8043814E+002, 2.2589037E+000, 1.6570258E+002, 2.2098748E+000, 1.5399962E+002, 2.1692523E+000, 1.4543381E+002, 2.1292256E+000, 1.3834863E+002, 2.0832002E+000, 1.3227175E+002, 2.0473291E+000, 1.2642546E+002, 2.0262538E+000
 3.4670879E+001, 5.7760912E+002, 5.8348864E-001, 5.4782185E+002, 1.3147239E+000, 4.8054949E+002, 1.7485023E+000, 4.0953565E+002, 1.9865412E+000, 3.5526102E+002, 2.1264007E+000, 3.1533797E+002, 2.2167474E+000, 2.8149537E+002, 2.2663722E+000, 2.5045806E+002, 2.2801652E+000, 2.2476138E+002, 2.2741817E+000, 2.0413106E+002, 2.2610043E+000, 1.8788226E+002, 2.2330525E+000, 1.7393539E+002, 2.1825239E+000, 1.6250618E+002, 2.1307602E+000, 1.5387406E+002, 2.1033183E+000, 1.4759273E+002, 2.1126009E+000, 1.4364097E+002, 2.1425357E+000, 1.3936484E+002, 2.1767196E+000
 3.6001136E+001, 5.7442316E+002, 5.5551175E-001, 5.3960233E+002, 1.2433716E+000, 4.7474134E+002, 1.6708437E+000, 4.0428057E+002, 1.9036442E+000, 3.3892948E+002, 2.0335613E+000, 2.8256968E+002, 2.0894802E+000, 2.3675739E+002, 2.0665755E+000, 2.0322417E+002, 1.9944094E+000, 1.8032567E+002, 1.9353735E+000, 1.6698801E+002, 1.9084480E+000, 1.5817880E+002, 1.8940456E+000, 1.5102627E+002, 1.8894299E+000, 1.4479836E+002, 1.8787360E+000, 1.3795584E+002, 1.8520968E+000, 1.3135797E+002, 1.8010168E+000, 1.2503148E+002, 1.7346230E+000, 1.2073200E+002, 1.6477920E+000
 3.7345229E+001, 6.0473954E+002, 5.4431857E-001, 5.9056054E+002, 1.3186323E+000, 5.5103231E+002, 1.8396615E+000, 4.9590367E+002, 2.1731178E+000, 4.3859849E+002, 2.3703193E+000, 3.8487364E+002, 2.4847928E+000, 3.3631597E+002, 2.5672479E+000, 2.9996004E+002, 2.6118577E+000, 2.6578074E+002, 2.5939510E+000, 2.3484491E+002, 2.5452929E+000, 2.0863260E+002, 2.4828681E+000, 1.8840532E+002, 2.4106851E+000, 1.7391996E+002, 2.3444698E+000, 1.6279817E+002, 2.3028353E+000, 1.5493250E+002, 2.2709967E+000, 1.4880686E+002, 2.2663027E+000, 1.4559740E+002, 2.2997942E+000
